company-domain,companyDisplayname,companyName,Column1,Column2
datalets.ch,Datalets,datalets,1,1
,DC Bank,dcbank,0,1
deloitte.ch,Deloitte,deloitte,1,1
delta-es.com,Delta Energy Systems,delta-es,1,1
denkplatz.ch,denkplatz gmbh,denkplatz,1,1
collison.ch,Denkzone,collison,1,1
detecon.com,Detecon,detecon,1,1
DevTrans.ch,Dev Trans AG,DevTrans,1,1
,devedis,devedis,0,1
devoteam.ch,Devoteam-Genesis AG,devoteam,1,1
mobiliar.ch,Die Mobiliar,mobiliar,1,2
die.wissens.in.gen.ieu.re,Die Wissens-Ingenieure,diewissensing,1,2
,Digicomp TOGAF Trainer,digicomp,0,1
digitalminds.ag,digitalMINDS AG,digitalminds,1,1
diso.ch,Diso,diso,1,1
dmc-consulting.ch,DMC Consulting AG,dmc-consulting,1,1
impressionet.ch,Dreamlab AG,impressionet,1,1
,dsi engineering ag,dsiengineering,0,1
dvbern.ch,DV Bern,dvbern,1,1
dxc.com,DXC,dxc,1,1
e3ag.ch,e3,e3ag,1,1
,EDA,eda,0,1
edorex.ch,Edorex,edorex,1,1
efk.admin.ch,EFK,efk,1,1
efv.admin.ch,EFV,efv,1,1
ipi.ch,Eidg. Institut für Geistiges Eigentum,ipi,1,1
ezv.admin.ch,Eidg. Zollverwaltung,ezv,1,1
eisenhutinformatik.ch,Eisenhut Informatik AG,eisenhutinformatik,1,1
ejpd.admin.ch,EJPD,ejpd,1,1
ELCA.ch,ELCA,elca,1,1
enerweb.ch,Enerhaus Web Services GmbH,enerweb,1,1
entris-banking.ch,Entris Banking,entris-banking,1,1
,Eraneos,eraneos,0,1
,Erhardt Consulting GmbH,erhardt,0,1
polypoint.ch,Erne Consulting,polypoint,1,1
erni.ch,ERNI,erni,1,1
ch.ey.com,Ernst & Young,ch,1,1
schweizer-metallbau.ch,Ernst Schweizer AG,schweizer-metallbau,1,1
erz.be.ch,ERZ,erz,1,1
esprit-consulting.com,Esprit,esprit-consulting,1,1
ess.ch,ESS Development AG,ess,1,1
,ESTV,estv,0,1
eternalnet.ch,EternalNet AG,eternalnet,1,1
student.ethz.ch,ETH Zürich,student,1,1
ethz.ch,"ETHZ, D-MTEC",ethz,1,1
ewb.ch,EWB,ewb,1,1
exasoft.ch,exa.soft GmbH,exasoft,1,1
,Expertflow,expertflow,0,1
,Fabasoft 4teamwork AG,fabasoft,0,1
,FAIRTIQ,fairtiq,0,1
,feenk,feenk,0,1
fenaco.com,Fenaco,fenaco,1,1
fenceit.ch,fence IT AG,fenceit,1,1
,FHNW,fhnw,0,1
,Fincons Group,fincons,0,1
finma.ch,FINMA,finma,1,1
,Freelance,freelance,0,1
knowledgeplace.ch,Furrer Project Partners GmbH,knowledgeplace,1,1
g-stream.ch,G-Stream Technologies,g-stream,1,1
,Galenica,galenica,0,1
galexis.com,Galexis AG,galexis,1,1
garaio.com,GARAIO,garaio,1,1
,Gemeinsamständig,gemeinsamständig,0,1
geocom.ch,Geocom,geocom,1,1
gfms.ch,GfM Software AG,gfms,1,1
,Glenfis,glenfis,0,1
,GlobeBit,globebit,0,1
glue.ch,Glue,glue,1,1
gnostx.ch,GnostX GmbH,gnostx,1,1
,Go ,go,0,1
buechse.ch,Greenliff AG,buechse,1,1
gs-edi.admin.ch,GS-EDI,gs-edi,1,1
gs-efd.admin.ch,GS-EFD,gs-efd,1,1
gs-ejpd.admin.ch,GS-EJPD,gs-ejpd,1,1
gs-evd.admin.ch,GS-EVD,gs-evd,1,1
gs-vbs.admin.ch,GS-VBS,gs-vbs,1,1
gs-wbf.admin.ch,GS-WBF,gs-wbf,1,2
gtw-mc.com,GTW,gtw-mc,1,1
guerlet-consulting.ch,guerlet-consulting,guerlet-consulting,1,1
markushager.com,HAGER Consulting & Training Switzerland,markushager,1,1
,hajime gmbh,hajime,0,1
hartmann-analytics.ch,Hartmann Analytics,hartmann-analytics,1,1
headwire.com,headwire,headwire,1,1
helinks.com,HELINKS LLC,helinks,1,1
helsana.ch,Helsana,helsana,1,1
,Helsana ,helsana,0,1
,Hilti,hilti,0,1
hevs.ch,Hochschule Wallis,hevs,1,1
hosoyaschaefer.com,Hosoya Schaefer Architects,hosoyaschaefer,1,1
hp.com,HP,hp,1,3
hslu.ch,HSLU,hslu,1,1
iba.ch,iba ag,iba,1,1
ibax.ch,ibax AG - Enterprise Business Intelligence,ibax,1,1
